Web Search interest: help
Worldwide Past 90 days

Interest over time
Day,help
2015-10-14,93
2015-10-15,91
2015-10-16,82
2015-10-17,72
2015-10-18,78
2015-10-19,92
2015-10-20,93
2015-10-21,96
2015-10-22,92
2015-10-23,85
2015-10-24,73
2015-10-25,78
2015-10-26,93
2015-10-27,93
2015-10-28,94
2015-10-29,90
2015-10-30,80
2015-10-31,67
2015-11-01,76
2015-11-02,96
2015-11-03,97
2015-11-04,96
2015-11-05,94
2015-11-06,88
2015-11-07,75
2015-11-08,80
2015-11-09,92
2015-11-10,96
2015-11-11,90
2015-11-12,91
2015-11-13,84
2015-11-14,73
2015-11-15,79
2015-11-16,99
2015-11-17,99
2015-11-18,96
2015-11-19,95
2015-11-20,86
2015-11-21,75
2015-11-22,78
2015-11-23,88
2015-11-24,86
2015-11-25,79
2015-11-26,67
2015-11-27,66
2015-11-28,72
2015-11-29,79
2015-11-30,93
2015-12-01,100
2015-12-02,99
2015-12-03,96
2015-12-04,89
2015-12-05,76
2015-12-06,81
2015-12-07,95
2015-12-08,98
2015-12-09,94
2015-12-10,92
2015-12-11,86
2015-12-12,73
2015-12-13,76
2015-12-14,89
2015-12-15,93
2015-12-16,89
2015-12-17,87
2015-12-18,79
2015-12-19,70
2015-12-20,71
2015-12-21,75
2015-12-22,77
2015-12-23,74
2015-12-24,65
2015-12-25,62
2015-12-26,71
2015-12-27,76
2015-12-28,82
2015-12-29,84
2015-12-30,83
2015-12-31,77
2016-01-01,75
2016-01-02,82
2016-01-03,85
2016-01-04,93
2016-01-05,98
2016-01-06,98
2016-01-07,98
2016-01-08,93
2016-01-09,80
2016-01-10,83
2016-01-11,95
2016-01-12, 
2016-01-13, 


Top regions for help
Region,help
United States,100
United Kingdom,99
Ghana,90
South Africa,83
Australia,78
Canada,73
New Zealand,71
Kenya,67
Ireland,66
Nigeria,65
Singapore,54
Philippines,46
United Arab Emirates,41
India,35
Pakistan,33
Bangladesh,29
Malaysia,28
Czech Republic,27
Hong Kong,25
Netherlands,24
Norway,18
Belgium,16
Romania,15
Denmark,15
Sweden,13
Switzerland,13
Israel,11
Finland,11
Greece,11
Saudi Arabia,11
Portugal,10
Austria,10
Hungary,10
South Korea,9
Italy,9
Egypt,8
Germany,7
Iran,6
Poland,6
Indonesia,6
Taiwan,6
Chile,6
Spain,6
Brazil,6
Thailand,5
Mexico,5
France,5
Vietnam,5
Colombia,4
Argentina,4
Russia,4
Ukraine,4
Japan,3
Turkey,3


Top cities for help
City,help
Atlanta (United States),100
Dallas (United States),96
Houston (United States),95
London (United Kingdom),93
Chicago (United States),91
Washington (United States),91
Seattle (United States),90
Brisbane (Australia),88
Los Angeles (United States),85
Perth (Australia),85
New York (United States),83
San Francisco (United States),83
Melbourne (Australia),80
Toronto (Canada),80
Sydney (Australia),76



Top searches for help
the help,100
help me,35
need help,15
google help,15
help desk,10
help to buy,10
self help,10
facebook help,5
i need help,5
help wanted,5
apple help,5
depression,5
help center,5
depression help,5
youtube help,5
help lyrics,5
windows help,5
anxiety,5
help quotes,5
math help,5
homework help,5
amazon help,5
gmail help,5
help university,5
iphone help,5
help me please,5
microsoft help,5
yahoo help,5
xbox help,0
windows 10 help,0
mac help,0
beatles help,0
crossword help,0
the help movie,0
help at home,0
god help me,0
help synonym,0
samsung help,0
help yourself,0
common help,0
the help book,0
fallout 4 help,0
help x,0
netflix help,0
self help books,0
debt help,0
excel help,0



Rising searches for help
fallout 4 help,+4,750%
xbox one help,+90%
google classroom help,+80%
help to buy,+80%



