Week,Instagram
2012-01-01 - 2012-01-07,3
2012-01-08 - 2012-01-14,3
2012-01-15 - 2012-01-21,3
2012-01-22 - 2012-01-28,3
2012-01-29 - 2012-02-04,4
2012-02-05 - 2012-02-11,4
2012-02-12 - 2012-02-18,4
2012-02-19 - 2012-02-25,4
2012-02-26 - 2012-03-03,4
2012-03-04 - 2012-03-10,4
2012-03-11 - 2012-03-17,5
2012-03-18 - 2012-03-24,5
2012-03-25 - 2012-03-31,5
2012-04-01 - 2012-04-07,13
2012-04-08 - 2012-04-14,22
2012-04-15 - 2012-04-21,12
2012-04-22 - 2012-04-28,11
2012-04-29 - 2012-05-05,11
2012-05-06 - 2012-05-12,10
2012-05-13 - 2012-05-19,10
2012-05-20 - 2012-05-26,10
2012-05-27 - 2012-06-02,11
2012-06-03 - 2012-06-09,11
2012-06-10 - 2012-06-16,11
2012-06-17 - 2012-06-23,11
2012-06-24 - 2012-06-30,15
2012-07-01 - 2012-07-07,13
2012-07-08 - 2012-07-14,13
2012-07-15 - 2012-07-21,13
2012-07-22 - 2012-07-28,14
2012-07-29 - 2012-08-04,14
2012-08-05 - 2012-08-11,14
2012-08-12 - 2012-08-18,17
2012-08-19 - 2012-08-25,16
2012-08-26 - 2012-09-01,15
2012-09-02 - 2012-09-08,15
2012-09-09 - 2012-09-15,14
2012-09-16 - 2012-09-22,14
2012-09-23 - 2012-09-29,15
2012-09-30 - 2012-10-06,15
2012-10-07 - 2012-10-13,15
2012-10-14 - 2012-10-20,15
2012-10-21 - 2012-10-27,16
2012-10-28 - 2012-11-03,16
2012-11-04 - 2012-11-10,20
2012-11-11 - 2012-11-17,17
2012-11-18 - 2012-11-24,18
2012-11-25 - 2012-12-01,18
2012-12-02 - 2012-12-08,19
2012-12-09 - 2012-12-15,19
2012-12-16 - 2012-12-22,26
2012-12-23 - 2012-12-29,26
2012-12-30 - 2013-01-05,25
2013-01-06 - 2013-01-12,22
2013-01-13 - 2013-01-19,22
2013-01-20 - 2013-01-26,23
