Week,restuarant
2015-01-18 - 2015-01-24,88
2015-01-25 - 2015-01-31,86
2015-02-01 - 2015-02-07,87
2015-02-08 - 2015-02-14,100
2015-02-15 - 2015-02-21,90
2015-02-22 - 2015-02-28,85
2015-03-01 - 2015-03-07,85
2015-03-08 - 2015-03-14,87
2015-03-15 - 2015-03-21,87
2015-03-22 - 2015-03-28,85
2015-03-29 - 2015-04-04,86
2015-04-05 - 2015-04-11,85
2015-04-12 - 2015-04-18,81
2015-04-19 - 2015-04-25,82
2015-04-26 - 2015-05-02,84
2015-05-03 - 2015-05-09,87
2015-05-10 - 2015-05-16,87
2015-05-17 - 2015-05-23,83
2015-05-24 - 2015-05-30,83
2015-05-31 - 2015-06-06,82
2015-06-07 - 2015-06-13,85
2015-06-14 - 2015-06-20,83
2015-06-21 - 2015-06-27,85
2015-06-28 - 2015-07-04,84
2015-07-05 - 2015-07-11,86
2015-07-12 - 2015-07-18,91
2015-07-19 - 2015-07-25,96
2015-07-26 - 2015-08-01,96
2015-08-02 - 2015-08-08,94
2015-08-09 - 2015-08-15,94
2015-08-16 - 2015-08-22,89
2015-08-23 - 2015-08-29,88
2015-08-30 - 2015-09-05,84
2015-09-06 - 2015-09-12,82
2015-09-13 - 2015-09-19,83
2015-09-20 - 2015-09-26,85
2015-09-27 - 2015-10-03,81
2015-10-04 - 2015-10-10,86
2015-10-11 - 2015-10-17,82
2015-10-18 - 2015-10-24,82
2015-10-25 - 2015-10-31,79
2015-11-01 - 2015-11-07,85
2015-11-08 - 2015-11-14,85
2015-11-15 - 2015-11-21,81
2015-11-22 - 2015-11-28,78
2015-11-29 - 2015-12-05,79
2015-12-06 - 2015-12-12,81
2015-12-13 - 2015-12-19,85
2015-12-20 - 2015-12-26,83
2015-12-27 - 2016-01-02,93
2016-01-03 - 2016-01-09,85
2016-01-10 - 2016-01-16,85
