Day,restuarant
2015-10-15,85
2015-10-16,81
2015-10-17,80
2015-10-18,70
2015-10-19,68
2015-10-20,78
2015-10-21,77
2015-10-22,81
2015-10-23,81
2015-10-24,80
2015-10-25,77
2015-10-26,70
2015-10-27,76
2015-10-28,73
2015-10-29,75
2015-10-30,75
2015-10-31,76
2015-11-01,73
2015-11-02,82
2015-11-03,77
2015-11-04,78
2015-11-05,76
2015-11-06,92
2015-11-07,83
2015-11-08,76
2015-11-09,69
2015-11-10,83
2015-11-11,81
2015-11-12,77
2015-11-13,90
2015-11-14,82
2015-11-15,71
2015-11-16,70
2015-11-17,78
2015-11-18,77
2015-11-19,80
2015-11-20,87
2015-11-21,81
2015-11-22,75
2015-11-23,71
2015-11-24,72
2015-11-25,73
2015-11-26,67
2015-11-27,66
2015-11-28,77
2015-11-29,67
2015-11-30,67
2015-12-01,72
2015-12-02,78
2015-12-03,72
2015-12-04,79
2015-12-05,78
2015-12-06,76
2015-12-07,76
2015-12-08,77
2015-12-09,77
2015-12-10,78
2015-12-11,81
2015-12-12,82
2015-12-13,73
2015-12-14,78
2015-12-15,78
2015-12-16,78
2015-12-17,75
2015-12-18,84
2015-12-19,85
2015-12-20,77
2015-12-21,80
2015-12-22,84
2015-12-23,82
2015-12-24,71
2015-12-25,65
2015-12-26,75
2015-12-27,83
2015-12-28,76
2015-12-29,91
2015-12-30,96
2015-12-31,91
2016-01-01,83
2016-01-02,82
2016-01-03,71
2016-01-04,73
2016-01-05,76
2016-01-06,84
2016-01-07,87
2016-01-08,92
2016-01-09,89
2016-01-10,77
2016-01-11,70
2016-01-12,100


